"*The expenditure data in this dashboard is based on General Fund Expenditure data for:
- Years 2013-14 through 2016-17 Actuals
01 - GENERAL FUND,RESTRICTED,5850 - Fed'l School Climate,Central & Support for Schools,922 - Comm. Schools & Student Servic,5210 - MILEAGE/PERSONAL EXP REIMB,$400 ,$0 ,$0 ,$400.00 
01 - GENERAL FUND,RESTRICTED,5850 - Fed'l School Climate,Central & Support for Schools,922 - Comm. Schools & Student Servic,5220 - CONFERENCE  EXPENSE,"$28,001 ","$27,975 ",$26 ,$0.84 
01 - GENERAL FUND,RESTRICTED,5850 - Fed'l School Climate,Central & Support for Schools,922 - Comm. Schools & Student Servic,5825 - CONSULTANTS,"$98,796 ","$7,725 ","$22,276 ","$68,795.40 "
01 - GENERAL FUND,RESTRICTED,5850 - Fed'l School Climate,Central & Support for Schools,922 - Comm. Schools & Student Servic,5826 - EXTERNAL WORK ORDER SERVICES,"$9,910 ","$6,303 ","$2,397 ","$1,210.00 "
01 - GENERAL FUND,RESTRICTED,5850 - Fed'l School Climate,Central & Support for Schools,922 - Comm. Schools & Student Servic,7310 - INTERPROGRAM SUPPORT/COSTS,"$51,378 ","$37,059 ",$0 ,"$14,319.57 "
01 - GENERAL FUND,RESTRICTED,5854 - Carol White PEP Grant,Central & Support for Schools,922 - Comm. Schools & Student Servic,1105 - TEACHERS SALARIES,"$262,550 ","$209,295 ","$52,420 ",$835.51 
01 - GENERAL FUND,RESTRICTED,5854 - Carol White PEP Grant,Central & Support for Schools,922 - Comm. Schools & Student Servic,1119 - TEACHER ON SPEC ASSIN SCHOOL,"$21,055 ","$17,054 ","$4,168 ",($166.37)
01 - GENERAL FUND,RESTRICTED,5854 - Carol White PEP Grant,Central & Support for Schools,922 - Comm. Schools & Student Servic,1120 - TEACHERS SALARIES STIPENDS,"$10,000 ","$3,851 ",$0 ,"$6,149.26 "
01 - GENERAL FUND,RESTRICTED,5854 - Carol White PEP Grant,Central & Support for Schools,922 - Comm. Schools & Student Servic,1122 - TEACHERS SALARIES EXTRA COMP,"$13,000 ","$4,349 ",$0 ,"$8,651.20 "
01 - GENERAL FUND,RESTRICTED,5854 - Carol White PEP Grant,Central & Support for Schools,922 - Comm. Schools & Student Servic,1150 - TEACHERS SUBSTITUTES,"$20,000 ","$13,630 ",$0 ,"$6,369.74 "
01 - GENERAL FUND,RESTRICTED,5854 - Carol White PEP Grant,Central & Support for Schools,922 - Comm. Schools & Student Servic,2305 - SUPV&ADM SALARIES,"$42,000 ","$27,747 ",$0 ,"$14,252.67 "
01 - GENERAL FUND,RESTRICTED,5854 - Carol White PEP Grant,Central & Support for Schools,922 - Comm. Schools & Student Servic,3101 - STRS CERTIFICATED,"$41,918 ","$33,201 ","$8,166 ",$551.39 
01 - GENERAL FUND,RESTRICTED,5854 - Carol White PEP Grant,Central & Support for Schools,922 - Comm. Schools & Student Servic,3202 - PERS CLASSIFIED,$0 ,"$4,286 ",$0 ,"($4,286.13)"
01 - GENERAL FUND,RESTRICTED,5854 - Carol White PEP Grant,Central & Support for Schools,922 - Comm. Schools & Student Servic,"3301 - SOCSEC,MEDI,ALTSS CERTIFICATED",$0 ,$32 ,$0 ,($31.55)
01 - GENERAL FUND,RESTRICTED,5854 - Carol White PEP Grant,Central & Support for Schools,922 - Comm. Schools & Student Servic,"3302 - SOCSEC,MEDI,ALTSS CLASSIFIED",$0 ,"$1,720 ",$0 ,"($1,720.34)"
01 - GENERAL FUND,RESTRICTED,5854 - Carol White PEP Grant,Central & Support for Schools,922 - Comm. Schools & Student Servic,3321 - MEDICARE CERTIFICATED,"$4,112 ","$3,557 ",$821 ,($265.03)
01 - GENERAL FUND,RESTRICTED,5854 - Carol White PEP Grant,Central & Support for Schools,922 - Comm. Schools & Student Servic,3322 - MEDICARE CLASSIFIED,$0 ,$402 ,$0 ,($402.34)
01 - GENERAL FUND,RESTRICTED,5854 - Carol White PEP Grant,Central & Support for Schools,922 - Comm. Schools & Student Servic,3341 - PARS CERTIFICATED,$0 ,$16 ,$0 ,($15.93)
01 - GENERAL FUND,RESTRICTED,5854 - Carol White PEP Grant,Central & Support for Schools,922 - Comm. Schools & Student Servic,3401 - HEALTH & WELFARE CERTIFICATED,"$64,619 ","$39,986 ","$10,036 ","$14,597.14 "
01 - GENERAL FUND,RESTRICTED,5854 - Carol White PEP Grant,Central & Support for Schools,922 - Comm. Schools & Student Servic,3402 - HEALTH & WELFARE CLASSIFIED,$0 ,"$5,134 ",$0 ,"($5,134.29)"
01 - GENERAL FUND,RESTRICTED,5854 - Carol White PEP Grant,Central & Support for Schools,922 - Comm. Schools & Student Servic,3501 - ST UNEMPLOY INS CERTIFICATED,$303 ,$265 ,$61 ,($22.30)
01 - GENERAL FUND,RESTRICTED,5854 - Carol White PEP Grant,Central & Support for Schools,922 - Comm. Schools & Student Servic,3502 - ST UNEMPLOY INS CLASSIFIED,$0 ,$30 ,$0 ,($29.67)
01 - GENERAL FUND,RESTRICTED,5854 - Carol White PEP Grant,Central & Support for Schools,922 - Comm. Schools & Student Servic,3601 - WORKERS COMP CERTIFICATED,"$17,725 ","$14,874 ","$3,395 ",($543.60)
01 - GENERAL FUND,RESTRICTED,5854 - Carol White PEP Grant,Central & Support for Schools,922 - Comm. Schools & Student Servic,3602 - WORKERS COMP CLASSIFIED,$0 ,"$1,665 ",$0 ,"($1,664.82)"
01 - GENERAL FUND,RESTRICTED,5854 - Carol White PEP Grant,Central & Support for Schools,922 - Comm. Schools & Student Servic,3901 - OTHER BENEFITS CERTIFICATED,$74 ,$269 ,$65 ,($258.73)
01 - GENERAL FUND,RESTRICTED,5854 - Carol White PEP Grant,Central & Support for Schools,922 - Comm. Schools & Student Servic,3902 - OTHER BENEFITS CLASSIFIED,$0 ,$151 ,$0 ,($150.90)
01 - GENERAL FUND,RESTRICTED,5854 - Carol White PEP Grant,Central & Support for Schools,922 - Comm. Schools & Student Servic,4200 - BOOKS-OTHER THAN TEXTBOOKS,"$2,600 ",$75 ,$0 ,"$2,525.28 "
01 - GENERAL FUND,RESTRICTED,5854 - Carol White PEP Grant,Central & Support for Schools,922 - Comm. Schools & Student Servic,4310 - SUPPLIES,"$100,000 ","$58,328 ","$7,532 ","$34,140.15 "
01 - GENERAL FUND,RESTRICTED,5854 - Carol White PEP Grant,Central & Support for Schools,922 - Comm. Schools & Student Servic,4311 - MEETING REFRESHMENTS,"$5,000 ","$1,817 ",$149 ,"$3,034.57 "
01 - GENERAL FUND,RESTRICTED,5854 - Carol White PEP Grant,Central & Support for Schools,922 - Comm. Schools & Student Servic,4391 - CARRYOVER - PRIOR YEAR,"$9,262 ",$0 ,$0 ,"$9,261.87 "
01 - GENERAL FUND,RESTRICTED,5854 - Carol White PEP Grant,Central & Support for Schools,922 - Comm. Schools & Student Servic,4399 - SURPLUS,"$54,947 ",$0 ,$0 ,"$54,947.19 "
01 - GENERAL FUND,RESTRICTED,5854 - Carol White PEP Grant,Central & Support for Schools,922 - Comm. Schools & Student Servic,5210 - MILEAGE/PERSONAL EXP REIMB,$560 ,$23 ,$81 ,$456.00 
01 - GENERAL FUND,RESTRICTED,5854 - Carol White PEP Grant,Central & Support for Schools,922 - Comm. Schools & Student Servic,5220 - CONFERENCE  EXPENSE,"$15,000 ","$3,573 ","$9,393 ","$2,033.98 "
01 - GENERAL FUND,RESTRICTED,5854 - Carol White PEP Grant,Central & Support for Schools,922 - Comm. Schools & Student Servic,5825 - CONSULTANTS,"$240,000 ","$209,659 ","$10,551 ","$19,790.00 "
01 - GENERAL FUND,RESTRICTED,5854 - Carol White PEP Grant,Central & Support for Schools,922 - Comm. Schools & Student Servic,7310 - INTERPROGRAM SUPPORT/COSTS,"$51,692 ","$33,956 ",$0 ,"$17,736.44 "
01 - GENERAL FUND,RESTRICTED,6010 - AFTER SCHOOL LEARNING&SAFEHOOD,Central & Support for Schools,922 - Comm. Schools & Student Servic,1222 - PUPILSUPPT SALARIES EXTRA COMP,"$1,000 ",$200 ,$0 ,$800.41 
01 - GENERAL FUND,RESTRICTED,6010 - AFTER SCHOOL LEARNING&SAFEHOOD,Central & Support for Schools,922 - Comm. Schools & Student Servic,2305 - SUPV&ADM SALARIES,"$213,716 ","$182,016 ","$31,851 ",($150.65)
01 - GENERAL FUND,RESTRICTED,6010 - AFTER SCHOOL LEARNING&SAFEHOOD,Central & Support for Schools,922 - Comm. Schools & Student Servic,2405 - CLERICAL SALARIES,"$40,000 ","$33,374 ","$6,626 ",$0.00 
01 - GENERAL FUND,RESTRICTED,6010 - AFTER SCHOOL LEARNING&SAFEHOOD,Central & Support for Schools,922 - Comm. Schools & Student Servic,2450 - CLERICAL SUBSTITUTES,"$3,445 ","$3,445 ",$0 ,$0.00 
01 - GENERAL FUND,RESTRICTED,6010 - AFTER SCHOOL LEARNING&SAFEHOOD,Central & Support for Schools,922 - Comm. Schools & Student Servic,3101 - STRS CERTIFICATED,$0 ,$29 ,$0 ,($28.80)
01 - GENERAL FUND,RESTRICTED,6010 - AFTER SCHOOL LEARNING&SAFEHOOD,Central & Support for Schools,922 - Comm. Schools & Student Servic,3102 - STRS CLASSIFIED,"$6,853 ",$514 ,"$1,602 ","$4,737.46 "
01 - GENERAL FUND,RESTRICTED,6010 - AFTER SCHOOL LEARNING&SAFEHOOD,Central & Support for Schools,922 - Comm. Schools & Student Servic,3202 - PERS CLASSIFIED,"$27,571 ","$27,612 ","$5,976 ","($6,016.49)"
01 - GENERAL FUND,RESTRICTED,6010 - AFTER SCHOOL LEARNING&SAFEHOOD,Central & Support for Schools,922 - Comm. Schools & Student Servic,"3302 - SOCSEC,MEDI,ALTSS CLASSIFIED","$11,863 ","$11,780 ","$2,386 ","($2,302.57)"
01 - GENERAL FUND,RESTRICTED,6010 - AFTER SCHOOL LEARNING&SAFEHOOD,Central & Support for Schools,922 - Comm. Schools & Student Servic,3321 - MEDICARE CERTIFICATED,$0 ,$3 ,$0 ,($2.90)
01 - GENERAL FUND,RESTRICTED,6010 - AFTER SCHOOL LEARNING&SAFEHOOD,Central & Support for Schools,922 - Comm. Schools & Student Servic,3322 - MEDICARE CLASSIFIED,"$3,670 ","$3,087 ",$558 ,$25.04 
01 - GENERAL FUND,RESTRICTED,6010 - AFTER SCHOOL LEARNING&SAFEHOOD,Central & Support for Schools,922 - Comm. Schools & Student Servic,3402 - HEALTH & WELFARE CLASSIFIED,"$28,056 ","$22,878 ","$5,028 ",$149.99 
01 - GENERAL FUND,RESTRICTED,6010 - AFTER SCHOOL LEARNING&SAFEHOOD,Central & Support for Schools,922 - Comm. Schools & Student Servic,3501 - ST UNEMPLOY INS CERTIFICATED,$0 ,$0 ,$0 ,($0.21)
01 - GENERAL FUND,RESTRICTED,6010 - AFTER SCHOOL LEARNING&SAFEHOOD,Central & Support for Schools,922 - Comm. Schools & Student Servic,3502 - ST UNEMPLOY INS CLASSIFIED,$285 ,$234 ,$41 ,$9.84 
01 - GENERAL FUND,RESTRICTED,6010 - AFTER SCHOOL LEARNING&SAFEHOOD,Central & Support for Schools,922 - Comm. Schools & Student Servic,3601 - WORKERS COMP CERTIFICATED,$0 ,$12 ,$0 ,($11.97)
01 - GENERAL FUND,RESTRICTED,6010 - AFTER SCHOOL LEARNING&SAFEHOOD,Central & Support for Schools,922 - Comm. Schools & Student Servic,3602 - WORKERS COMP CLASSIFIED,"$13,699 ","$11,339 ","$2,309 ",$50.98 
01 - GENERAL FUND,RESTRICTED,6010 - AFTER SCHOOL LEARNING&SAFEHOOD,Central & Support for Schools,922 - Comm. Schools & Student Servic,3902 - OTHER BENEFITS CLASSIFIED,"$3,712 ","$3,298 ",$492 ,($76.96)
01 - GENERAL FUND,RESTRICTED,6010 - AFTER SCHOOL LEARNING&SAFEHOOD,Central & Support for Schools,922 - Comm. Schools & Student Servic,4310 - SUPPLIES,"$32,373 ","$13,881 ","$7,881 ","$10,610.86 "
01 - GENERAL FUND,RESTRICTED,6010 - AFTER SCHOOL LEARNING&SAFEHOOD,Central & Support for Schools,922 - Comm. Schools & Student Servic,4311 - MEETING REFRESHMENTS,"$3,128 ","$2,509 ",$619 ,$0.00 
01 - GENERAL FUND,RESTRICTED,6010 - AFTER SCHOOL LEARNING&SAFEHOOD,Central & Support for Schools,922 - Comm. Schools & Student Servic,4399 - SURPLUS,$0 ,$0 ,$0 ,$0.00 
01 - GENERAL FUND,RESTRICTED,6010 - AFTER SCHOOL LEARNING&SAFEHOOD,Central & Support for Schools,922 - Comm. Schools & Student Servic,"4410 - EQUIPMENT < $5,000","$1,500 ","$1,311 ",$0 ,$189.02 
01 - GENERAL FUND,RESTRICTED,6010 - AFTER SCHOOL LEARNING&SAFEHOOD,Central & Support for Schools,922 - Comm. Schools & Student Servic,"4420 - COMPUTER < $5,000","$12,012 ",$0 ,"$11,016 ",$995.99 
01 - GENERAL FUND,RESTRICTED,6010 - AFTER SCHOOL LEARNING&SAFEHOOD,Central & Support for Schools,922 - Comm. Schools & Student Servic,"4474 - AUDIO VISUAL EQUIP < $5,000","$1,800 ",$0 ,"$1,748 ",$52.02 
01 - GENERAL FUND,RESTRICTED,6010 - AFTER SCHOOL LEARNING&SAFEHOOD,Central & Support for Schools,922 - Comm. Schools & Student Servic,5210 - MILEAGE/PERSONAL EXP REIMB,"$2,000 ","$1,345 ",$600 ,$54.89 
01 - GENERAL FUND,RESTRICTED,6010 - AFTER SCHOOL LEARNING&SAFEHOOD,Central & Support for Schools,922 - Comm. Schools & Student Servic,5220 - CONFERENCE  EXPENSE,"$7,845 ","$7,845 ",$0 ,$0.00 
01 - GENERAL FUND,RESTRICTED,6010 - AFTER SCHOOL LEARNING&SAFEHOOD,Central & Support for Schools,922 - Comm. Schools & Student Servic,5624 - RENTALS - FACILITY,$720 ,$720 ,$0 ,$0.00 
01 - GENERAL FUND,RESTRICTED,6010 - AFTER SCHOOL LEARNING&SAFEHOOD,Central & Support for Schools,922 - Comm. Schools & Student Servic,5731 - AFTERSCHOOL CUSTODIAL INTERPRO,"$353,190 ","$260,966 ",$0 ,"$92,223.94 "
01 - GENERAL FUND,RESTRICTED,6010 - AFTER SCHOOL LEARNING&SAFEHOOD,Central & Support for Schools,922 - Comm. Schools & Student Servic,5825 - CONSULTANTS,"$103,665 ","$71,519 ","$32,146 ",$0.00 
01 - GENERAL FUND,RESTRICTED,6010 - AFTER SCHOOL LEARNING&SAFEHOOD,Central & Support for Schools,922 - Comm. Schools & Student Servic,5826 - EXTERNAL WORK ORDER SERVICES,$400 ,$400 ,$0 ,$0.00 
01 - GENERAL FUND,RESTRICTED,6010 - AFTER SCHOOL LEARNING&SAFEHOOD,Central & Support for Schools,922 - Comm. Schools & Student Servic,5870 - PRINTING,"$2,618 ",$618 ,$0 ,"$2,000.00 "
01 - GENERAL FUND,RESTRICTED,6010 - AFTER SCHOOL LEARNING&SAFEHOOD,Central & Support for Schools,922 - Comm. Schools & Student Servic,7310 - INTERPROGRAM SUPPORT/COSTS,"$306,682 ","$113,269 ",$0 ,"$193,412.21 "
01 - GENERAL FUND,RESTRICTED,6690 - TUPE GRADE 6-12 COHORT F,Central & Support for Schools,922 - Comm. Schools & Student Servic,1120 - TEACHERS SALARIES STIPENDS,"$4,800 ",$0 ,$0 ,"$4,800.00 "
01 - GENERAL FUND,RESTRICTED,6690 - TUPE GRADE 6-12 COHORT F,Central & Support for Schools,922 - Comm. Schools & Student Servic,2205 - CLASSSUPPT SALARIES,"$36,066 ","$30,130 ","$5,936 ",($0.11)
01 - GENERAL FUND,RESTRICTED,6690 - TUPE GRADE 6-12 COHORT F,Central & Support for Schools,922 - Comm. Schools & Student Servic,2405 - CLERICAL SALARIES,"$7,155 ","$5,957 ","$1,191 ",$7.18 
01 - GENERAL FUND,RESTRICTED,6690 - TUPE GRADE 6-12 COHORT F,Central & Support for Schools,922 - Comm. Schools & Student Servic,3202 - PERS CLASSIFIED,"$6,712 ","$5,605 ","$1,107 ",($0.02)
01 - GENERAL FUND,RESTRICTED,6690 - TUPE GRADE 6-12 COHORT F,Central & Support for Schools,922 - Comm. Schools & Student Servic,"3302 - SOCSEC,MEDI,ALTSS CLASSIFIED","$2,679 ","$2,238 ",$442 ,($0.03)
01 - GENERAL FUND,RESTRICTED,6690 - TUPE GRADE 6-12 COHORT F,Central & Support for Schools,922 - Comm. Schools & Student Servic,3322 - MEDICARE CLASSIFIED,$627 ,$523 ,$103 ,($0.01)
01 - GENERAL FUND,RESTRICTED,6690 - TUPE GRADE 6-12 COHORT F,Central & Support for Schools,922 - Comm. Schools & Student Servic,3401 - HEALTH & WELFARE CERTIFICATED,"$1,200 ",$0 ,$0 ,"$1,200.00 "
01 - GENERAL FUND,RESTRICTED,6690 - TUPE GRADE 6-12 COHORT F,Central & Support for Schools,922 - Comm. Schools & Student Servic,3402 - HEALTH & WELFARE CLASSIFIED,"$11,871 ","$9,912 ","$1,959 ",($0.01)
01 - GENERAL FUND,RESTRICTED,6690 - TUPE GRADE 6-12 COHORT F,Central & Support for Schools,922 - Comm. Schools & Student Servic,3502 - ST UNEMPLOY INS CLASSIFIED,$46 ,$39 ,$8 ,$0.01 
01 - GENERAL FUND,RESTRICTED,6690 - TUPE GRADE 6-12 COHORT F,Central & Support for Schools,922 - Comm. Schools & Student Servic,3602 - WORKERS COMP CLASSIFIED,"$2,593 ","$2,165 ",$428 ,($0.01)
01 - GENERAL FUND,RESTRICTED,6690 - TUPE GRADE 6-12 COHORT F,Central & Support for Schools,922 - Comm. Schools & Student Servic,3902 - OTHER BENEFITS CLASSIFIED,"$2,566 ","$2,144 ",$422 ,($0.03)
01 - GENERAL FUND,RESTRICTED,6690 - TUPE GRADE 6-12 COHORT F,Central & Support for Schools,922 - Comm. Schools & Student Servic,4310 - SUPPLIES,"$11,040 ","$5,025 ","$1,560 ","$4,454.05 "
01 - GENERAL FUND,RESTRICTED,6690 - TUPE GRADE 6-12 COHORT F,Central & Support for Schools,922 - Comm. Schools & Student Servic,4311 - MEETING REFRESHMENTS,"$1,000 ",$69 ,$9 ,$922.13 
01 - GENERAL FUND,RESTRICTED,6690 - TUPE GRADE 6-12 COHORT F,Central & Support for Schools,922 - Comm. Schools & Student Servic,4399 - SURPLUS,$0 ,$0 ,$0 ,$0.00 
01 - GENERAL FUND,RESTRICTED,6690 - TUPE GRADE 6-12 COHORT F,Central & Support for Schools,922 - Comm. Schools & Student Servic,"4420 - COMPUTER < $5,000","$1,531 ","$1,531 ",$0 ,$0.00 
01 - GENERAL FUND,RESTRICTED,6690 - TUPE GRADE 6-12 COHORT F,Central & Support for Schools,922 - Comm. Schools & Student Servic,5210 - MILEAGE/PERSONAL EXP REIMB,"$1,969 ","$1,140 ",$360 ,$468.90 
01 - GENERAL FUND,RESTRICTED,6690 - TUPE GRADE 6-12 COHORT F,Central & Support for Schools,922 - Comm. Schools & Student Servic,5220 - CONFERENCE  EXPENSE,"$2,000 ","$1,400 ",$0 ,$600.00 
01 - GENERAL FUND,RESTRICTED,6690 - TUPE GRADE 6-12 COHORT F,Central & Support for Schools,922 - Comm. Schools & Student Servic,5624 - RENTALS - FACILITY,$120 ,$120 ,$0 ,$0.00 
01 - GENERAL FUND,RESTRICTED,6690 - TUPE GRADE 6-12 COHORT F,Central & Support for Schools,922 - Comm. Schools & Student Servic,5825 - CONSULTANTS,"$155,495 ","$140,047 ","$15,448 ",$0.00 
01 - GENERAL FUND,RESTRICTED,6690 - TUPE GRADE 6-12 COHORT F,Central & Support for Schools,922 - Comm. Schools & Student Servic,7310 - INTERPROGRAM SUPPORT/COSTS,"$13,945 ","$6,201 ",$0 ,"$7,744.26 "
01 - GENERAL FUND,RESTRICTED,6695 - TUPE - PROP 56,Central & Support for Schools,922 - Comm. Schools & Student Servic,4310 - SUPPLIES,"$53,230 ",$0 ,$0 ,"$53,229.95 "
01 - GENERAL FUND,RESTRICTED,6695 - TUPE - PROP 56,Central & Support for Schools,922 - Comm. Schools & Student Servic,5825 - CONSULTANTS,"$41,000 ","$26,460 ","$14,490 ",$50.00 
01 - GENERAL FUND,RESTRICTED,6695 - TUPE - PROP 56,Central & Support for Schools,922 - Comm. Schools & Student Servic,7310 - INTERPROGRAM SUPPORT/COSTS,"$4,712 ",$0 ,$0 ,"$4,711.50 "
01 - GENERAL FUND,RESTRICTED,7085 - PROP 47 - LCSSP,Central & Support for Schools,922 - Comm. Schools & Student Servic,1120 - TEACHERS SALARIES STIPENDS,"$16,000 ",$0 ,$0 ,"$16,000.00 "
01 - GENERAL FUND,RESTRICTED,7085 - PROP 47 - LCSSP,Central & Support for Schools,922 - Comm. Schools & Student Servic,1205 - PUPILSUPPT SALARIES,"$35,000 ",$0 ,$0 ,"$35,000.00 "
01 - GENERAL FUND,RESTRICTED,7085 - PROP 47 - LCSSP,Central & Support for Schools,922 - Comm. Schools & Student Servic,2225 - CLASSSUPPT SALARIES OVERTIME,"$5,000 ",$501 ,$0 ,"$4,498.84 "
01 - GENERAL FUND,RESTRICTED,7085 - PROP 47 - LCSSP,Central & Support for Schools,922 - Comm. Schools & Student Servic,2305 - SUPV&ADM SALARIES,"$109,000 ",$0 ,$0 ,"$109,000.00 "
01 - GENERAL FUND,RESTRICTED,7085 - PROP 47 - LCSSP,Central & Support for Schools,922 - Comm. Schools & Student Servic,2320 - SUPV&ADM SALARIES STIPENDS,"$5,000 ",$0 ,$0 ,"$5,000.00 "
01 - GENERAL FUND,RESTRICTED,7085 - PROP 47 - LCSSP,Central & Support for Schools,922 - Comm. Schools & Student Servic,2405 - CLERICAL SALARIES,"$13,000 ",$0 ,$0 ,"$13,000.00 "
01 - GENERAL FUND,RESTRICTED,7085 - PROP 47 - LCSSP,Central & Support for Schools,922 - Comm. Schools & Student Servic,3101 - STRS CERTIFICATED,"$14,408 ",$0 ,$0 ,"$14,408.00 "
01 - GENERAL FUND,RESTRICTED,7085 - PROP 47 - LCSSP,Central & Support for Schools,922 - Comm. Schools & Student Servic,3102 - STRS CLASSIFIED,$0 ,$24 ,$0 ,($23.92)
01 - GENERAL FUND,RESTRICTED,7085 - PROP 47 - LCSSP,Central & Support for Schools,922 - Comm. Schools & Student Servic,3202 - PERS CLASSIFIED,"$60,720 ",$51 ,$0 ,"$60,668.96 "
01 - GENERAL FUND,RESTRICTED,7085 - PROP 47 - LCSSP,Central & Support for Schools,922 - Comm. Schools & Student Servic,"3302 - SOCSEC,MEDI,ALTSS CLASSIFIED",$0 ,$20 ,$0 ,($20.38)
01 - GENERAL FUND,RESTRICTED,7085 - PROP 47 - LCSSP,Central & Support for Schools,922 - Comm. Schools & Student Servic,3322 - MEDICARE CLASSIFIED,$0 ,$7 ,$0 ,($7.26)
01 - GENERAL FUND,RESTRICTED,7085 - PROP 47 - LCSSP,Central & Support for Schools,922 - Comm. Schools & Student Servic,3502 - ST UNEMPLOY INS CLASSIFIED,$0 ,$1 ,$0 ,($0.54)
01 - GENERAL FUND,RESTRICTED,7085 - PROP 47 - LCSSP,Central & Support for Schools,922 - Comm. Schools & Student Servic,3602 - WORKERS COMP CLASSIFIED,$0 ,$30 ,$0 ,($30.07)
01 - GENERAL FUND,RESTRICTED,7085 - PROP 47 - LCSSP,Central & Support for Schools,922 - Comm. Schools & Student Servic,4310 - SUPPLIES,"$32,319 ",$0 ,$0 ,"$32,319.00 "
01 - GENERAL FUND,RESTRICTED,7085 - PROP 47 - LCSSP,Central & Support for Schools,922 - Comm. Schools & Student Servic,5200 - TRAVEL AND CONFERENCES,"$1,432 ",$0 ,$0 ,"$1,432.00 "
01 - GENERAL FUND,RESTRICTED,7085 - PROP 47 - LCSSP,Central & Support for Schools,922 - Comm. Schools & Student Servic,5825 - CONSULTANTS,"$33,750 ",$0 ,$0 ,"$33,750.00 "
01 - GENERAL FUND,RESTRICTED,7085 - PROP 47 - LCSSP,Central & Support for Schools,922 - Comm. Schools & Student Servic,7310 - INTERPROGRAM SUPPORT/COSTS,"$18,202 ",$0 ,$0 ,"$18,202.00 "
01 - GENERAL FUND,RESTRICTED,9001 - Wallace Foundation,Central & Support for Schools,922 - Comm. Schools & Student Servic,1120 - TEACHERS SALARIES STIPENDS,"$29,618 ","$18,618 ",$0 ,"$11,000.00 "
01 - GENERAL FUND,RESTRICTED,9001 - Wallace Foundation,Central & Support for Schools,922 - Comm. Schools & Student Servic,2220 - CLASSSUPPT SALARIES STIPENDS,"$1,000 ",$560 ,$0 ,$440.13 
01 - GENERAL FUND,RESTRICTED,9001 - Wallace Foundation,Central & Support for Schools,922 - Comm. Schools & Student Servic,2305 - SUPV&ADM SALARIES,"$45,000 ","$8,643 ","$1,730 ","$34,626.42 "
01 - GENERAL FUND,RESTRICTED,9001 - Wallace Foundation,Central & Support for Schools,922 - Comm. Schools & Student Servic,3101 - STRS CERTIFICATED,"$2,569 ","$2,369 ",$0 ,$200.00 
01 - GENERAL FUND,RESTRICTED,9001 - Wallace Foundation,Central & Support for Schools,922 - Comm. Schools & Student Servic,3102 - STRS CLASSIFIED,$0 ,"$1,262 ",$250 ,"($1,511.16)"
01 - GENERAL FUND,RESTRICTED,9001 - Wallace Foundation,Central & Support for Schools,922 - Comm. Schools & Student Servic,3201 - PERS CERTIFICATED,$40 ,$40 ,$0 ,$0.00 
01 - GENERAL FUND,RESTRICTED,9001 - Wallace Foundation,Central & Support for Schools,922 - Comm. Schools & Student Servic,3202 - PERS CLASSIFIED,$0 ,$87 ,$0 ,($86.94)
